strain,time,cooling_rate,temperature,stress,grain_size,delta_grain
0.01,0,35,539.4637259,24.327732,42.313,0.97
0.015,0.146109474,35,534.3498943,24.30127694,44.907,2.37
0.019,0.263596638,35,530.2378436,24.23838012,43.418,2.85
0.024,0.389196401,35,525.8418519,24.16304199,45.005,3.66
0.029,0.528707802,35,520.9589528,24.10348288,45.838,4.5
0.033,0.656276436,35,516.4940506,24.07195122,40.856,4.89
0.038,0.808149945,35,511.1784778,24.14342267,42.995,5.29
0.043,0.95859543,35,505.9128858,24.14591629,44.507,6.07
0.047,1.078951818,35,501.7004123,24.21673877,39.718,6.4
0.052,1.250664993,35,495.6904511,24.2942069,39.317,5.84
0.057,1.431816504,35,489.3501482,24.48004464,39.722,6.15
0.061,1.570601323,35,484.4926796,24.65231206,38.728,6.34
0.066,1.737451304,35,478.6529302,24.77205655,42.152,6.59
0.071,1.904607302,35,472.8024703,24.83044831,39.823,6.68
0.075,2.042204859,35,467.9865558,24.92461452,38.965,7
0.08,2.226119441,35,461.5495455,25.03720405,40.654,7.41
0.085,2.412807753,35,455.0154545,25.0120405,39.392,7.88
0.089,2.562158402,35,449.7881818,24.98564426,37.174,6.31
0.094,2.742816888,35,443.4651348,25.16848024,39.455,6.35
0.099,2.910231454,35,437.605625,25.3975174,37.195,6.34
0.103,3.037445189,35,433.1531443,25.5840966,39.857,6.8
0.108,3.210291763,35,427.1035142,25.89664563,38.868,6.79
0.113,3.425168788,35,419.5828183,26.24349063,36.036,7.24
0.117,3.610868238,35,413.0833375,26.48483487,33.273,6.84
0.122,3.85113406,35,404.6740338,26.85719917,34.714,7.35
0.127,4.015299164,35,398.9282552,27.18639182,34.057,6.4
0.131,4.146631246,35,394.3316323,27.4040617,34.396,6
0.136,4.309402411,35,388.6346415,27.64701836,35.197,6.29
0.14,4.436266741,35,384.1943899,27.81898778,30.721,6.13
0.145,4.633655248,35,377.2857922,28.03570361,32.856,6.58
0.15,4.833121589,35,370.3044703,28.26241129,31.711,6.62
0.154,4.990892725,35,364.7824805,28.58597153,31.861,6.58
0.159,5.222107938,35,356.6899481,29.00637518,29.994,6.71
0.164,5.409424261,35,350.1338767,29.39780909,30.508,7.01
0.168,5.554269476,35,345.0642942,29.81547099,33.407,5.63
0.173,5.72946841,35,338.9323315,30.44390547,29.451,5.53
0.178,5.89555161,35,333.1194195,30.90060004,31.097,6.05
0.182,6.103806416,35,325.8305013,31.25334744,30.089,5.91
0.187,6.294974121,35,319.1396317,31.67979345,28.422,6.13
0.192,6.48740177,35,312.4046639,32.01691316,32.094,6
0.196,6.660450855,35,306.3479459,32.31812321,31.343,6.16
0.201,6.794862052,35,301.6435541,32.79682178,28.072,5.95
0.206,7.022148857,35,293.6885159,33.28352255,28.95,6.16
0.21,7.208923213,35,287.1514134,33.69755642,27.874,6.26
0.215,7.438747413,35,279.1075664,34.25116206,27.379,6.06
0.22,7.663864139,35,271.228481,34.93667053,25.719,5.81
0.224,7.842887647,35,264.9626582,35.41990239,28.8,5.86
0.229,8.03219625,35,258.3368571,36.10679201,28.444,5.81
0.234,8.255588075,35,250.5181433,36.75839829,26.134,5.83
0.238,8.432216043,35,244.3361644,37.2481863,26.286,5.86
0.243,8.650055161,35,236.7117952,37.91928686,29.141,5.99
0.248,8.87069682,35,228.9893372,38.62029934,25.85,6
0.252,9.051707499,35,222.6539634,39.18326064,25.736,5.89
0.257,9.287443562,35,214.4032012,39.90560107,27.248,5.98
0.262,9.52016393,35,206.2579883,40.70668727,29.448,5.64
0.266,9.683942464,35,200.5257396,41.44317411,26.363,5.61
0.271,9.899932806,35,192.9660777,42.47533302,26.66,5.6
0.276,10.12528913,35,185.0786062,43.48769444,26.875,5.76
0.28,10.28424122,35,179.515283,44.31551744,25.124,5.54
0.285,10.47198451,35,172.9442681,45.4443842,27.395,5.53
0.29,10.76090905,35,162.8319091,46.26049082,25.813,5.57
0.294,10.97173156,35,155.4531212,46.98814941,26.925,5.77
0.299,11.25441062,35,145.5593543,47.96651212,25.569,5.29
0.304,11.52844115,35,135.9682857,48.86076391,25.533,5.61
0.308,11.72700723,35,129.018473,49.4583911,24.293,5.61
0.313,11.97158156,35,120.4583712,50.20979423,27.549,5.67
0.318,12.17537877,35,113.325469,51.08426984,24.973,5.71
0.322,12.3229855,35,108.1592332,51.81875195,24.361,5.19
0.327,12.50375638,35,101.8322527,52.71099682,24.13,5.24
0.332,12.69629169,35,95.09351678,53.60294124,24.758,5.61
0.336,12.8551838,35,89.53229296,54.27639836,26.141,5.36
0.341,13.0149044,35,83.94207201,55.10841365,23.531,5.4
0.346,13.1593033,35,78.88811055,55.91362661,24.987,5.43
0.35,13.25120745,35,75.67146512,56.49447229,24.563,5.43
0.355,13.37809247,35,71.2304896,57.1394997,24.018,5.56
0.36,13.47673255,35,67.77808651,57.65802804,23.284,5.6
0.364,13.53724945,35,65.65999498,58.10025692,25.033,5.46
0.369,13.60515811,35,63.28319214,58.64917446,23.892,5.23
0.374,13.67806828,35,60.73133624,59.24386171,26.036,5.54
0.378,13.73612159,35,58.69947009,59.74974322,22.314,5.09
0.383,13.79942714,35,56.48377586,60.30673758,22.924,5.19
0.388,13.82745232,35,55.50289474,60.83851924,23.123,5.55
0.392,13.85828242,35,54.42384119,61.29126641,25.554,5.21
0.397,13.92262074,35,52.172,61.70625557,24.806,5.2
0.402,13.94047788,35,51.547,62.07310086,22.721,5.17
0.406,13.96042677,35,50.84878891,62.31373615,23.819,5.57
0.411,14.00569639,35,49.26435229,62.51499244,24.33,5.4
0.416,14.02334754,35,48.64656216,62.78366386,23.113,5.51
0.42,14.03047464,35,48.39711351,62.80176476,22.817,5.31
0.425,14.04506366,35,47.88649768,62.85693595,22.169,5.62
0.43,14.06801812,35,47.08309175,62.97287408,22.032,5.66
0.434,14.08146574,35,46.612425,63.06057118,24.349,5.43
0.439,14.09468276,35,46.14982936,63.10280545,23.747,5.52
0.444,14.09557844,35,46.11848045,63.0773007,22.887,5.45
0.448,14.12042129,35,45.24898058,62.98427624,21.871,5.91
0.453,14.11775932,35,45.34214953,62.64494894,21.517,5.79
0.458,14.12410257,35,45.12013611,61.96771105,23.102,6.05
0.462,14.12879217,35,44.956,61.20233592,24.094,5.77
0.467,14.13335456,35,44.79631619,59.48545781,24.002,6.24
0.472,14.14157203,35,44.50870489,56.690906,22.919,6.53
0.01,0,50,554.0932927,25.57864544,39.151,1.04
0.015,0.100713692,50,549.0576081,25.5687442,36.767,2.38
0.019,0.181284645,50,545.0290604,25.55495124,35.815,3.25
0.024,0.281998337,50,539.9933758,25.55175588,38.531,3.42
0.029,0.382712029,50,534.9576912,25.53096598,38.906,3.89
0.033,0.465332887,50,530.8266484,25.62879549,39.236,4.24
0.038,0.65145926,50,521.5203297,25.77651152,40.103,4.97
0.043,0.837585634,50,512.214011,25.9646828,39.102,5.66
0.047,0.986486733,50,504.768956,26.12959925,37.143,5.66
0.052,1.190965854,50,494.545,26.4679224,34.961,5.01
0.057,1.397215854,50,484.2325,26.92943218,35.935,5.26
0.061,1.562215854,50,475.9825,27.12457538,33.986,5.58
0.066,1.756053141,50,466.2906356,27.40309137,34.031,5.79
0.071,1.947384015,50,456.7240919,27.75717768,33.182,6.29
0.075,2.100448714,50,449.070857,27.90996848,31.908,4.95
0.08,2.294994279,50,439.3435787,28.00939748,36.163,5.15
0.085,2.490280236,50,429.5792809,28.28313623,34.982,5.11
0.089,2.646509002,50,421.7678426,28.65524355,33.404,5.67
0.094,2.846735142,50,411.7565356,29.12951774,32.549,5.39
0.099,3.048296739,50,401.6784558,29.76439077,31.35,5.37
0.103,3.209546016,50,393.6159919,30.32245632,29.344,4.81
0.108,3.411107612,50,383.5379121,30.94513931,28.604,4.84
0.113,3.612669208,50,373.4598323,31.70205033,30.631,4.8
0.117,3.773918485,50,365.3973684,32.19271751,29.369,4.84
0.122,3.982742256,50,354.9561799,32.71951707,30.264,5.08
0.127,4.192803587,50,344.4531133,33.20780789,28.92,4.21
0.131,4.360852653,50,336.05066,33.5844565,29.554,4.52
0.136,4.54962171,50,326.6122072,34.02286244,28.754,4.5
0.14,4.699058646,50,319.1403604,34.59341703,28.042,4.41
0.145,4.885854818,50,309.8005518,35.41268224,27.789,4.44
0.15,5.106420552,50,298.7722651,36.19175904,26.372,4.36
0.154,5.286781998,50,289.7541928,36.96269187,26.027,4.58
0.159,5.511877299,50,278.4994277,38.10850535,26.57,4.45
0.164,5.717073083,50,268.2396386,38.97473624,28.199,4.37
0.168,5.881229709,50,260.0318072,39.70910149,24.655,4.49
0.173,6.086934544,50,249.7465655,40.51372744,25.581,4.67
0.178,6.295280397,50,239.3292728,41.09851803,24.706,4.44
0.182,6.46195708,50,230.9954387,41.83677522,24.879,4.66
0.187,6.670302933,50,220.578146,42.76313499,27.329,4.39
0.192,6.878648786,50,210.1608534,43.74185061,26.501,4.25
0.196,7.045325469,50,201.8270192,44.57172931,26.089,4.31
0.201,7.257108176,50,191.2378839,45.83864012,24.471,4.37
0.206,7.473322283,50,180.4271785,47.051398,24.397,4.26
0.21,7.646293569,50,171.7786142,48.12942143,25.069,4.13
